file speaker set vowel vheight vlength coda nucl_dur coda_dur
01_EXIST_prayer_S_PREP_place_SQDEM1_02 01 LAM a open vv nasal 0.1118 0.0863
01_EXIST_rope_SQPERTP_people_P_01 01 THOL O halfopen vvv lateral 0.1817 0.0982
01_EXIST_rope_SQPERTP_people_P_02 01 THOL O halfopen vvv lateral 0.1830 0.1006
01_EXIST_rope_S_PREP_place_SQDEM1_01 01 THOL O halfopen vv lateral 0.1250 0.0713
01_EXIST_rope_S_PREP_place_SQDEM1_02 01 THOL O halfopen vv lateral 0.1205 0.0747
01_EXIST_separateintounits_DVNAQPERTP_people_P_01 01 KEL E halfopen vvv lateral 0.1763 0.0888
01_EXIST_separateintounits_DVNAQPERTP_people_P_02 01 KEL E halfopen vvv lateral 0.1508 0.0850
01_EXIST_separateintounits_DVNAQPERTP_people_P_03 01 KEL E halfopen vvv lateral 0.1603 0.0972
01_EXIST_separateintounits_DVNA_PREP_place_SQDEM1_01 01 KEL E halfopen vv lateral 0.1134 0.0719
01_EXIST_separateintounits_DVNA_PREP_place_SQDEM1_02 01 KEL E halfopen vv lateral 0.1248 0.0671
01_EXIST_separateintounits_DVNA_PREP_place_SQDEM1_03 01 KEL E halfopen vv lateral 0.1221 0.0669
01_EXIST_stabinsacrifice_DVNA_PREP_place_SQDEM1_01 01 GUT u closed v plosive 0.0607 0.0759
01_EXIST_stabinsacrifice_DVNA_PREP_place_SQDEM1_02 01 GUT u closed v plosive 0.0655 0.0702
01_EXIST_surgeryknife_SQPERTP_people_P_01 01 PAL a open vvv lateral 0.1732 0.0920
01_EXIST_surgeryknife_SQPERTP_people_P_02 01 PAL a open vvv lateral 0.1655 0.1016
01_EXIST_surgeryknife_S_PREP_place_SQDEM1_01 01 PAL a open vv lateral 0.1284 0.0841
01_EXIST_surgeryknife_S_PREP_place_SQDEM1_02 01 PAL a open vv lateral 0.1393 0.0816
01_EXIST_takeout_DVNA_PREP_place_SQDEM1_01 01 KOL O halfopen v lateral 0.0728 0.0818
01_EXIST_takeout_DVNA_PREP_place_SQDEM1_02 01 KOL O halfopen v lateral 0.0759 0.0948
01_EXIST_throw_DVNAQPERTP_people_P_01 01 LEN E halfopen vvv nasal 0.1589 0.1257
01_EXIST_throw_DVNAQPERTP_people_P_02 01 LEN E halfopen vvv nasal 0.1642 0.1158
01_EXIST_throw_DVNA_PREP_place_SQDEM1_01 01 LEN E halfopen vv nasal 0.1327 0.0744
02_EXIST_dodge_DVNA_PREP_place_SQDEM1_01 02 PAL a open v lateral 0.0695 0.0826
02_EXIST_dodge_DVNA_PREP_place_SQDEM1_02 02 PAL a open v lateral 0.0703 0.1213
02_EXIST_drum_DVNA_PREP_place_SQDEM1_01 02 LEN E halfopen v nasal 0.0612 0.0779
02_EXIST_drum_DVNA_PREP_place_SQDEM1_02 02 LEN E halfopen v nasal 0.0559 0.1157
02_EXIST_eatunripegrain_DVNA_PREP_place_SQDEM1_01 02 THOL O halfopen v lateral 0.0765 0.1054
02_EXIST_eatunripegrain_DVNA_PREP_place_SQDEM1_02 02 THOL O halfopen v lateral 0.0794 0.1135
02_EXIST_herdaway_DVNAQPERTP_people_P_01 02 KOL O halfopen vvv lateral 0.1859 0.0853
02_EXIST_herdaway_DVNAQPERTP_people_P_02 02 KOL O halfopen vvv lateral 0.2073 0.0807
02_EXIST_herdaway_DVNA_PREP_place_SQDEM1_01 02 KOL O halfopen vv lateral 0.1175 0.0834
02_EXIST_herdaway_DVNA_PREP_place_SQDEM1_02 02 KOL O halfopen vv lateral 0.1189 0.0880
02_EXIST_kindofrodent_SQPERTP_people_P_01 02 DUP u closed vvv plosive 0.1384 0.1758
02_EXIST_kindofrodent_S_PREP_place_SQDEM1_01 02 DUP u closed vv plosive 0.0888 0.0933
02_EXIST_messup_DVNA_PREP_place_SQDEM1_01 02 DUP u closed v plosive 0.0506 0.1303
02_EXIST_messup_DVNA_PREP_place_SQDEM1_02 02 DUP u closed v plosive 0.0757 0.1289
02_EXIST_navel_SQPERTP_people_P_01 02 GUT u closed vvv plosive 0.1851 0.1593
02_EXIST_navel_SQPERTP_people_P_02 02 GUT u closed vvv plosive 0.1816 0.1666
02_EXIST_navel_S_PREP_place_SQDEM1_01 02 GUT u closed vv plosive 0.1067 0.1614
02_EXIST_navel_S_PREP_place_SQDEM1_02 02 GUT u closed vv plosive 0.1023 0.1148
02_EXIST_peelwteeth_DVNA_PREP_place_SQDEM1_01 02 KEL E halfopen v lateral 0.0648 0.1160
02_EXIST_peelwteeth_DVNA_PREP_place_SQDEM1_02 02 KEL E halfopen v lateral 0.0614 0.1361
02_EXIST_pray_DVNAQPERTP_people_P_01 02 LAM a open vvv nasal 0.1525 0.1585
02_EXIST_pray_DVNAQPERTP_people_P_02 02 LAM a open vvv nasal 0.1646 0.1463
02_EXIST_pray_DVNA_PREP_place_SQDEM1_01 02 LAM a open v nasal 0.0584 0.1170
02_EXIST_prayer_S_PREP_place_SQDEM1_01 02 LAM a open vv nasal 0.1199 0.1285
02_EXIST_prayer_S_PREP_place_SQDEM1_02 02 LAM a open vv nasal 0.1078 0.1065
02_EXIST_rope_SQPERTP_people_P_01 02 THOL O halfopen vvv lateral 0.1918 0.1088
02_EXIST_rope_S_PREP_place_SQDEM1_01 02 THOL O halfopen vv lateral 0.1288 0.0755
02_EXIST_rope_S_PREP_place_SQDEM1_02 02 THOL O halfopen vv lateral 0.1284 0.0995
02_EXIST_separateintounits_DVNAQPERTP_people_P_01 02 KEL E halfopen vvv lateral 0.1765 0.1363
02_EXIST_separateintounits_DVNA_PREP_place_SQDEM1_01 02 KEL E halfopen vv lateral 0.1254 0.0678
02_EXIST_stabinsacrifice_DVNA_PREP_place_SQDEM1_01 02 GUT u closed v plosive 0.0530 0.1172
02_EXIST_stabinsacrifice_DVNA_PREP_place_SQDEM1_02 02 GUT u closed v plosive 0.0516 0.1203
02_EXIST_surgeryknife_SQPERTP_people_P_01 02 PAL a open vvv lateral 0.2149 0.1087
02_EXIST_surgeryknife_S_PREP_place_SQDEM1_01 02 PAL a open vv lateral 0.1256 0.1169
02_EXIST_surgeryknife_S_PREP_place_SQDEM1_02 02 PAL a open vv lateral 0.1064 0.1021
02_EXIST_surgeryknife_S_PREP_place_SQDEM1_03 02 PAL a open vv lateral 0.1151 0.0991
02_EXIST_takeout_DVNA_PREP_place_SQDEM1_01 02 KOL O halfopen v lateral 0.0636 0.1152
02_EXIST_throw_DVNAQPERTP_people_P_01 02 LEN E halfopen vvv nasal 0.1969 0.1622
02_EXIST_throw_DVNA_PREP_place_SQDEM1_01 02 LEN E halfopen vv nasal 0.1351 0.1051
02_EXIST_throw_DVNA_PREP_place_SQDEM1_02 02 LEN E halfopen vv nasal 0.1243 0.1115
02_EXIST_throw_DVNA_PREP_place_SQDEM1_03 02 LEN E halfopen vv nasal 0.1227 0.0787
07_EXIST_dodge_DVNA_PREP_place_SQDEM1_01 07 PAL a open v lateral 0.0689 0.0783
07_EXIST_dodge_DVNA_PREP_place_SQDEM1_02 07 PAL a open v lateral 0.0591 0.0941
07_EXIST_drum_DVNA_PREP_place_SQDEM1_01 07 LEN E halfopen v nasal 0.0697 0.0747
07_EXIST_drum_DVNA_PREP_place_SQDEM1_02 07 LEN E halfopen v nasal 0.0690 0.0682
07_EXIST_eatunripegrain_DVNA_PREP_place_SQDEM1_01 07 THOL O halfopen v lateral 0.0742 0.0851
07_EXIST_eatunripegrain_DVNA_PREP_place_SQDEM1_02 07 THOL O halfopen v lateral 0.0742 0.0883
07_EXIST_herdaway_DVNAQPERTP_people_P_01 07 KOL O halfopen vvv lateral 0.1504 0.0824
07_EXIST_herdaway_DVNAQPERTP_people_P_02 07 KOL O halfopen vvv lateral 0.1377 0.0883
07_EXIST_herdaway_DVNA_PREP_place_SQDEM1_01 07 KOL O halfopen vv lateral 0.1021 0.0631
07_EXIST_herdaway_DVNA_PREP_place_SQDEM1_02 07 KOL O halfopen vv lateral 0.1110 0.0611
07_EXIST_kindofrodent_SQPERTP_people_P_01 07 DUP u closed vvv plosive 0.1335 0.0874
07_EXIST_kindofrodent_S_PREP_place_SQDEM1_01 07 DUP u closed vv plosive 0.1010 0.1268
07_EXIST_kindofrodent_S_PREP_place_SQDEM1_02 07 DUP u closed vv plosive 0.0982 0.1232
07_EXIST_messup_DVNA_PREP_place_SQDEM1_01 07 DUP u closed v plosive 0.0521 0.1243
07_EXIST_messup_DVNA_PREP_place_SQDEM1_02 07 DUP u closed v plosive 0.0498 0.0872
07_EXIST_navel_SQPERTP_people_P_01 07 GUT u closed vvv plosive 0.1362 0.0784
07_EXIST_navel_SQPERTP_people_P_02 07 GUT u closed vvv plosive 0.1416 0.0864
07_EXIST_navel_S_PREP_place_SQDEM1_01 07 GUT u closed vv plosive 0.1008 0.0702
07_EXIST_navel_S_PREP_place_SQDEM1_02 07 GUT u closed vv plosive 0.1070 0.0709
07_EXIST_peelwteeth_DVNA_PREP_place_SQDEM1_01 07 KEL E halfopen v lateral 0.0604 0.0742
07_EXIST_peelwteeth_DVNA_PREP_place_SQDEM1_02 07 KEL E halfopen v lateral 0.0552 0.0899
07_EXIST_pray_DVNAQPERTP_people_P_01 07 LAM a open vvv nasal 0.1509 0.1010
07_EXIST_pray_DVNAQPERTP_people_P_02 07 LAM a open vvv nasal 0.1389 0.1117
07_EXIST_pray_DVNA_PREP_place_SQDEM1_01 07 LAM a open v nasal 0.0644 0.0861
07_EXIST_pray_DVNA_PREP_place_SQDEM1_02 07 LAM a open v nasal 0.0566 0.0909
07_EXIST_prayer_S_PREP_place_SQDEM1_01 07 LAM a open vv nasal 0.1121 0.0650
07_EXIST_prayer_S_PREP_place_SQDEM1_02 07 LAM a open vv nasal 0.1229 0.0669
07_EXIST_prayer_S_PREP_place_SQDEM1_03 07 LAM a open vv nasal 0.1222 0.0611
07_EXIST_rope_SQPERTP_people_P_01 07 THOL O halfopen vvv lateral 0.1635 0.0688
07_EXIST_rope_SQPERTP_people_P_02 07 THOL O halfopen vvv lateral 0.1565 0.0723
07_EXIST_rope_S_PREP_place_SQDEM1_01 07 THOL O halfopen vv lateral 0.1094 0.0556
07_EXIST_rope_S_PREP_place_SQDEM1_02 07 THOL O halfopen vv lateral 0.1065 0.0630
07_EXIST_separateintounits_DVNAQPERTP_people_P_01 07 KEL E halfopen vvv lateral 0.1347 0.0877
07_EXIST_separateintounits_DVNA_PREP_place_SQDEM1_01 07 KEL E halfopen vv lateral 0.1089 0.0817
07_EXIST_stabinsacrifice_DVNA_PREP_place_SQDEM1_02 07 GUT u closed v plosive 0.0637 0.0878
07_EXIST_stabinsacrifice_DVNA_PREP_place_SQDEM1_03 07 GUT u closed v plosive 0.0626 0.0901
07_EXIST_surgeryknife_SQPERTP_people_P_01 07 PAL a open vvv lateral 0.1733 0.0665
07_EXIST_surgeryknife_S_PREP_place_SQDEM1_02 07 PAL a open vv lateral 0.1045 0.0613
07_EXIST_takeout_DVNA_PREP_place_SQDEM1_01 07 KOL O halfopen v lateral 0.0518 0.0787
07_EXIST_takeout_DVNA_PREP_place_SQDEM1_02 07 KOL O halfopen v lateral 0.0521 0.0815
07_EXIST_throw_DVNAQPERTP_people_P_02 07 LEN E halfopen vvv nasal 0.1573 0.0691
07_EXIST_throw_DVNA_PREP_place_SQDEM1_01 07 LEN E halfopen vv nasal 0.1258 0.0495
07_EXIST_throw_DVNA_PREP_place_SQDEM1_02 07 LEN E halfopen vv nasal 0.1277 0.0409
41_EXIST_dodge_DVNA_PREP_place_SQDEM1_01 41 PAL a open v lateral 0.0708 0.0744
41_EXIST_dodge_DVNA_PREP_place_SQDEM1_02 41 PAL a open v lateral 0.0783 0.0781
41_EXIST_dodge_DVNA_PREP_place_SQDEM1_03 41 PAL a open v lateral 0.0765 0.0710
41_EXIST_drum_DVNA_PREP_place_SQDEM1_01 41 LEN E halfopen v nasal 0.0823 0.0706
41_EXIST_eatunripegrain_DVNA_PREP_place_SQDEM1_01 41 THOL O halfopen v lateral 0.0794 0.0740
41_EXIST_eatunripegrain_DVNA_PREP_place_SQDEM1_02 41 THOL O halfopen v lateral 0.0883 0.0773
41_EXIST_herdaway_DVNAQPERTP_people_P_01 41 KOL O halfopen vvv lateral 0.1306 0.0831
41_EXIST_herdaway_DVNAQPERTP_people_P_02 41 KOL O halfopen vvv lateral 0.1449 0.0749
41_EXIST_herdaway_DVNA_PREP_place_SQDEM1_01 41 KOL O halfopen vv lateral 0.1053 0.0657
41_EXIST_herdaway_DVNA_PREP_place_SQDEM1_02 41 KOL O halfopen vv lateral 0.1067 0.0440
41_EXIST_kindofrodent_SQPERTP_people_P_01 41 DUP u closed vvv plosive 0.1319 0.1385
41_EXIST_kindofrodent_SQPERTP_people_P_02 41 DUP u closed vvv plosive 0.1406 0.1306
41_EXIST_kindofrodent_S_PREP_place_SQDEM1_01 41 DUP u closed vv plosive 0.1355 0.0954
41_EXIST_kindofrodent_S_PREP_place_SQDEM1_02 41 DUP u closed vv plosive 0.1168 0.0941
41_EXIST_kindofrodent_S_PREP_place_SQDEM1_03 41 DUP u closed vv plosive 0.1010 0.1244
41_EXIST_messup_DVNA_PREP_place_SQDEM1_01 41 DUP u closed v plosive 0.0748 0.0847
41_EXIST_messup_DVNA_PREP_place_SQDEM1_02 41 DUP u closed v plosive 0.0676 0.1127
41_EXIST_navel_SQPERTP_people_P_01 41 GUT u closed vvv plosive 0.1331 0.1460
41_EXIST_navel_SQPERTP_people_P_02 41 GUT u closed vvv plosive 0.1414 0.1268
41_EXIST_navel_S_PREP_place_SQDEM1_02 41 GUT u closed vv plosive 0.1012 0.0616
41_EXIST_peelwteeth_DVNA_PREP_place_SQDEM1_01 41 KEL E halfopen v lateral 0.0678 0.0644
41_EXIST_peelwteeth_DVNA_PREP_place_SQDEM1_02 41 KEL E halfopen v lateral 0.0665 0.0690
41_EXIST_pray_DVNAQPERTP_people_P_01 41 LAM a open vvv nasal 0.1577 0.0972
41_EXIST_pray_DVNAQPERTP_people_P_02 41 LAM a open vvv nasal 0.1363 0.0843
41_EXIST_pray_DVNA_PREP_place_SQDEM1_01 41 LAM a open v nasal 0.0774 0.0915
41_EXIST_pray_DVNA_PREP_place_SQDEM1_02 41 LAM a open v nasal 0.0729 0.0846
41_EXIST_prayer_S_PREP_place_SQDEM1_01 41 LAM a open vv nasal 0.1158 0.0860
41_EXIST_prayer_S_PREP_place_SQDEM1_02 41 LAM a open vv nasal 0.1175 0.1147
41_EXIST_rope_SQPERTP_people_P_01 41 THOL O halfopen vvv lateral 0.1549 0.0703
41_EXIST_rope_SQPERTP_people_P_02 41 THOL O halfopen vvv lateral 0.1616 0.0648
41_EXIST_rope_SQPERTP_people_P_03 41 THOL O halfopen vvv lateral 0.1798 0.0800
41_EXIST_rope_S_PREP_place_SQDEM1_01 41 THOL O halfopen vv lateral 0.1333 0.0655
41_EXIST_rope_S_PREP_place_SQDEM1_02 41 THOL O halfopen vv lateral 0.1248 0.0624
41_EXIST_separateintounits_DVNAQPERTP_people_P_01 41 KEL E halfopen vvv lateral 0.1404 0.0732
41_EXIST_separateintounits_DVNAQPERTP_people_P_02 41 KEL E halfopen vvv lateral 0.1485 0.0648
41_EXIST_separateintounits_DVNA_PREP_place_SQDEM1_01 41 KEL E halfopen vv lateral 0.1109 0.0622
41_EXIST_separateintounits_DVNA_PREP_place_SQDEM1_02 41 KEL E halfopen vv lateral 0.1115 0.0683
41_EXIST_separateintounits_DVNA_PREP_place_SQDEM1_03 41 KEL E halfopen vv lateral 0.1167 0.0459
41_EXIST_stabinsacrifice_DVNA_PREP_place_SQDEM1_01 41 GUT u closed v plosive 0.0624 0.0823
41_EXIST_stabinsacrifice_DVNA_PREP_place_SQDEM1_02 41 GUT u closed v plosive 0.0672 0.0352
41_EXIST_surgeryknife_SQPERTP_people_P_01 41 PAL a open vvv lateral 0.1470 0.0796
41_EXIST_surgeryknife_S_PREP_place_SQDEM1_01 41 PAL a open vv lateral 0.1142 0.0830
41_EXIST_surgeryknife_S_PREP_place_SQDEM1_02 41 PAL a open vv lateral 0.1196 0.0523
41_EXIST_takeout_DVNA_PREP_place_SQDEM1_01 41 KOL O halfopen v lateral 0.0656 0.0893
41_EXIST_takeout_DVNA_PREP_place_SQDEM1_02 41 KOL O halfopen v lateral 0.0554 0.0748
41_EXIST_takeout_DVNA_PREP_place_SQDEM1_03 41 KOL O halfopen v lateral 0.0657 0.0731
41_EXIST_throw_DVNAQPERTP_people_P_01 41 LEN E halfopen vvv nasal 0.1398 0.0914
41_EXIST_throw_DVNAQPERTP_people_P_02 41 LEN E halfopen vvv nasal 0.1398 0.0938
41_EXIST_throw_DVNA_PREP_place_SQDEM1_01 41 LEN E halfopen vv nasal 0.1238 0.0639
41_EXIST_throw_DVNA_PREP_place_SQDEM1_02 41 LEN E halfopen vv nasal 0.1216 0.0555
42_EXIST_dodge_DVNA_PREP_place_SQDEM1_01 42 PAL a open v lateral 0.0615 0.1230
42_EXIST_dodge_DVNA_PREP_place_SQDEM1_02 42 PAL a open v lateral 0.0700 0.0977
42_EXIST_drum_DVNA_PREP_place_SQDEM1_01 42 LEN E halfopen v nasal 0.0747 0.0950
42_EXIST_drum_DVNA_PREP_place_SQDEM1_02 42 LEN E halfopen v nasal 0.0705 0.0758
42_EXIST_drum_DVNA_PREP_place_SQDEM1_03 42 LEN E halfopen v nasal 0.0743 0.1019
42_EXIST_eatunripegrain_DVNA_PREP_place_SQDEM1_01 42 THOL O halfopen v lateral 0.0877 0.1046
42_EXIST_eatunripegrain_DVNA_PREP_place_SQDEM1_02 42 THOL O halfopen v lateral 0.0777 0.0672
42_EXIST_eatunripegrain_DVNA_PREP_place_SQDEM1_03 42 THOL O halfopen v lateral 0.0817 0.0860
42_EXIST_herdaway_DVNAQPERTP_people_P_01 42 KOL O halfopen vvv lateral 0.1385 0.0959
42_EXIST_herdaway_DVNAQPERTP_people_P_02 42 KOL O halfopen vvv lateral 0.1279 0.0918
42_EXIST_herdaway_DVNA_PREP_place_SQDEM1_01 42 KOL O halfopen vv lateral 0.1116 0.0831
42_EXIST_herdaway_DVNA_PREP_place_SQDEM1_02 42 KOL O halfopen vv lateral 0.1101 0.0785
42_EXIST_kindofrodent_SQPERTP_people_P_01 42 DUP u closed vvv plosive 0.1263 0.1364
42_EXIST_kindofrodent_S_PREP_place_SQDEM1_01 42 DUP u closed vv plosive 0.1056 0.1595
42_EXIST_kindofrodent_S_PREP_place_SQDEM1_02 42 DUP u closed vv plosive 0.0890 0.1051
42_EXIST_messup_DVNA_PREP_place_SQDEM1_01 42 DUP u closed v plosive 0.0730 0.0944
42_EXIST_navel_SQPERTP_people_P_01 42 GUT u closed vvv plosive 0.1286 0.0924
42_EXIST_navel_SQPERTP_people_P_02 42 GUT u closed vvv plosive 0.1406 0.0974
42_EXIST_navel_S_PREP_place_SQDEM1_01 42 GUT u closed vv plosive 0.1041 0.0865
42_EXIST_peelwteeth_DVNA_PREP_place_SQDEM1_01 42 KEL E halfopen v lateral 0.0780 0.1099
42_EXIST_peelwteeth_DVNA_PREP_place_SQDEM1_02 42 KEL E halfopen v lateral 0.0887 0.0930
42_EXIST_pray_DVNAQPERTP_people_P_01 42 LAM a open vvv nasal 0.1142 0.1146
42_EXIST_pray_DVNAQPERTP_people_P_02 42 LAM a open vvv nasal 0.1182 0.1049
42_EXIST_pray_DVNA_PREP_place_SQDEM1_01 42 LAM a open v nasal 0.0572 0.1249
42_EXIST_pray_DVNA_PREP_place_SQDEM1_02 42 LAM a open v nasal 0.0648 0.1197
42_EXIST_prayer_S_PREP_place_SQDEM1_01 42 LAM a open vv nasal 0.1063 0.1167
42_EXIST_prayer_S_PREP_place_SQDEM1_02 42 LAM a open vv nasal 0.0898 0.0840
42_EXIST_prayer_S_PREP_place_SQDEM1_03 42 LAM a open vv nasal 0.0945 0.0872
42_EXIST_rope_SQPERTP_people_P_02 42 THOL O halfopen vvv lateral 0.1323 0.0950
42_EXIST_rope_S_PREP_place_SQDEM1_02 42 THOL O halfopen vv lateral 0.1018 0.0695
42_EXIST_separateintounits_DVNAQPERTP_people_P_01 42 KEL E halfopen vvv lateral 0.1367 0.1008
42_EXIST_separateintounits_DVNAQPERTP_people_P_02 42 KEL E halfopen vvv lateral 0.1331 0.0881
42_EXIST_separateintounits_DVNA_PREP_place_SQDEM1_01 42 KEL E halfopen vv lateral 0.1085 0.0825
42_EXIST_separateintounits_DVNA_PREP_place_SQDEM1_02 42 KEL E halfopen vv lateral 0.1114 0.0882
42_EXIST_stabinsacrifice_DVNA_PREP_place_SQDEM1_01 42 GUT u closed v plosive 0.0669 0.0969
42_EXIST_stabinsacrifice_DVNA_PREP_place_SQDEM1_02 42 GUT u closed v plosive 0.0725 0.0863
42_EXIST_stabinsacrifice_DVNA_PREP_place_SQDEM1_03 42 GUT u closed v plosive 0.0733 0.0860
42_EXIST_surgeryknife_SQPERTP_people_P_01 42 PAL a open vvv lateral 0.1259 0.1016
42_EXIST_surgeryknife_SQPERTP_people_P_02 42 PAL a open vvv lateral 0.1253 0.1047
42_EXIST_surgeryknife_S_PREP_place_SQDEM1_01 42 PAL a open vv lateral 0.1103 0.0716
42_EXIST_takeout_DVNA_PREP_place_SQDEM1_01 42 KOL O halfopen v lateral 0.0737 0.0903
42_EXIST_takeout_DVNA_PREP_place_SQDEM1_02 42 KOL O halfopen v lateral 0.0709 0.0857
42_EXIST_throw_DVNAQPERTP_people_P_01 42 LEN E halfopen vvv nasal 0.1329 0.0953
42_EXIST_throw_DVNAQPERTP_people_P_02 42 LEN E halfopen vvv nasal 0.1266 0.0894
42_EXIST_throw_DVNAQPERTP_people_P_03 42 LEN E halfopen vvv nasal 0.1374 0.0869
42_EXIST_throw_DVNA_PREP_place_SQDEM1_01 42 LEN E halfopen vv nasal 0.1052 0.0814
42_EXIST_throw_DVNA_PREP_place_SQDEM1_02 42 LEN E halfopen vv nasal 0.1056 0.0649
43_EXIST_dodge_DVNA_PREP_place_SQDEM1_01 43 PAL a open v lateral 0.0711 0.0740
43_EXIST_dodge_DVNA_PREP_place_SQDEM1_02 43 PAL a open v lateral 0.0762 0.0762
43_EXIST_drum_DVNA_PREP_place_SQDEM1_01 43 LEN E halfopen v nasal 0.0860 0.0952
43_EXIST_drum_DVNA_PREP_place_SQDEM1_02 43 LEN E halfopen v nasal 0.0895 0.0822
43_EXIST_eatunripegrain_DVNA_PREP_place_SQDEM1_01 43 THOL O halfopen v lateral 0.0665 0.0670
43_EXIST_eatunripegrain_DVNA_PREP_place_SQDEM1_02 43 THOL O halfopen v lateral 0.0714 0.0853
43_EXIST_herdaway_DVNAQPERTP_people_P_01 43 KOL O halfopen vvv lateral 0.1237 0.0704
43_EXIST_herdaway_DVNAQPERTP_people_P_02 43 KOL O halfopen vvv lateral 0.1220 0.0792
43_EXIST_herdaway_DVNA_PREP_place_SQDEM1_01 43 KOL O halfopen vv lateral 0.1088 0.0695
43_EXIST_herdaway_DVNA_PREP_place_SQDEM1_02 43 KOL O halfopen vv lateral 0.1033 0.0654
43_EXIST_kindofrodent_SQPERTP_people_P_01 43 DUP u closed vvv plosive 0.1243 0.0942
43_EXIST_kindofrodent_S_PREP_place_SQDEM1_01 43 DUP u closed vv plosive 0.0981 0.1273
43_EXIST_messup_DVNA_PREP_place_SQDEM1_01 43 DUP u closed v plosive 0.0479 0.0824
43_EXIST_messup_DVNA_PREP_place_SQDEM1_02 43 DUP u closed v plosive 0.0425 0.0708
43_EXIST_navel_SQPERTP_people_P_01 43 GUT u closed vvv plosive 0.1233 0.1139
43_EXIST_navel_SQPERTP_people_P_02 43 GUT u closed vvv plosive 0.1272 0.0570
43_EXIST_navel_SQPERTP_people_P_03 43 GUT u closed vvv plosive 0.1411 0.1035
43_EXIST_navel_S_PREP_place_SQDEM1_01 43 GUT u closed vv plosive 0.1109 0.0658
43_EXIST_navel_S_PREP_place_SQDEM1_02 43 GUT u closed vv plosive 0.1030 0.0605
43_EXIST_peelwteeth_DVNA_PREP_place_SQDEM1_01 43 KEL E halfopen v lateral 0.0766 0.1050
43_EXIST_pray_DVNAQPERTP_people_P_01 43 LAM a open vvv nasal 0.1155 0.1070
43_EXIST_pray_DVNAQPERTP_people_P_02 43 LAM a open vvv nasal 0.1351 0.1153
43_EXIST_pray_DVNA_PREP_place_SQDEM1_01 43 LAM a open v nasal 0.0553 0.0799
43_EXIST_pray_DVNA_PREP_place_SQDEM1_02 43 LAM a open v nasal 0.0537 0.0789
43_EXIST_prayer_S_PREP_place_SQDEM1_01 43 LAM a open vv nasal 0.1105 0.0837
